vertices,faces,surface_area_mm2,volume_mm3,ASSD_mm,Chamfer_mm,HD95_mm,Hausdorff_mm,vol_error_pct,case,model
77602,155360,52034.78,157638.48,1.4555,1.4405,2.7214,18.6534,4.9142,VerSe_test_0004.nii.gz,nnUNet
78011,156202,52425.08,156749.52,1.3953,1.3505,2.5783,11.6234,5.4504,VerSe_test_0004.nii.gz,MedNeXt
75250,150628,50378.43,154233.44,1.5892,1.5101,3.2612,17.9133,6.968,VerSe_test_0004.nii.gz,SwinUNETR
234449,468730,162729.64,631016.85,2.2408,2.4171,4.0892,31.7144,1.8437,VerSe_test_0014.nii.gz,nnUNet
230388,460670,159986.87,611081.01,2.2161,2.3254,4.29,22.138,1.3738,VerSe_test_0014.nii.gz,MedNeXt
225516,450814,156910.89,587323.2,2.3146,2.4088,4.3878,32.4605,5.2083,VerSe_test_0014.nii.gz,SwinUNETR
262081,524144,181505.3,728102.85,2.493,2.6564,4.5923,30.3474,1.7022,VerSe_test_0015.nii.gz,nnUNet
257948,516088,179014.69,720104.76,2.1726,2.1562,4.1673,11.9568,2.782,VerSe_test_0015.nii.gz,MedNeXt
268790,537522,185860.5,716855.27,2.652,2.9391,5.107,32.5339,3.2207,VerSe_test_0015.nii.gz,SwinUNETR
120184,240120,83864.09,342304.12,1.9366,2.3086,3.4472,31.4195,4.3618,VerSe_test_0018.nii.gz,nnUNet
120245,240210,84015.23,345216.38,2.0056,2.4446,3.5806,31.2137,5.2497,VerSe_test_0018.nii.gz,MedNeXt
117816,235400,82389.26,332642.22,2.0019,2.3565,3.6277,31.9929,1.4161,VerSe_test_0018.nii.gz,SwinUNETR
290958,581874,199880.06,773925.47,2.4626,2.4067,4.7085,25.3922,5.2791,VerSe_test_0029.nii.gz,nnUNet
285329,570920,196450.47,747372.23,2.6099,2.3716,4.8279,43.1027,8.529,VerSe_test_0029.nii.gz,MedNeXt
281196,562448,192510.41,711325.22,2.6424,2.4954,5.1915,24.0248,12.9408,VerSe_test_0029.nii.gz,SwinUNETR
150560,300782,104709.85,461930.45,2.1969,2.6884,4.2326,29.9114,3.6921,VerSe_test_0032.nii.gz,nnUNet
144331,288362,100564.56,453272.22,1.9048,2.1476,3.4818,29.4874,1.7486,VerSe_test_0032.nii.gz,MedNeXt
161247,322168,112127.96,490699.3,2.4972,3.2506,8.2869,256.7745,10.15,VerSe_test_0032.nii.gz,SwinUNETR
137264,274410,95865.87,378298.99,2.2834,2.5125,6.1266,34.093,7.0414,VerSe_test_0036.nii.gz,nnUNet
144239,288306,100764.92,418552.36,2.0009,2.319,3.5367,32.5972,2.8499,VerSe_test_0036.nii.gz,MedNeXt
137617,275028,96228.56,395192.8,2.2034,2.4622,4.6935,33.4623,2.8902,VerSe_test_0036.nii.gz,SwinUNETR
91036,182100,63504.7,274949.35,1.4533,1.4445,2.7773,9.2182,6.7222,VerSe_test_0082.nii.gz,nnUNet
91564,183156,63969.57,279760.59,1.415,1.4075,2.7154,8.1455,5.0899,VerSe_test_0082.nii.gz,MedNeXt
92426,184884,64671.87,273927.6,1.6027,1.6771,3.1522,17.3612,7.0688,VerSe_test_0082.nii.gz,SwinUNETR
80166,160352,55763.72,216037.04,3.262,4.5446,15.8613,35.7577,1.1865,VerSe_test_0087.nii.gz,nnUNet
71271,142562,49851.86,209269.5,4.3423,4.9872,22.3555,35.7213,1.9833,VerSe_test_0087.nii.gz,MedNeXt
77311,154662,53865.46,186771.16,3.4502,4.6796,15.2354,34.4152,12.5209,VerSe_test_0087.nii.gz,SwinUNETR
154068,307964,106298.41,418572.11,2.022,2.3264,3.6064,25.5277,2.6503,VerSe_test_0095.nii.gz,nnUNet
154062,307980,106308.2,414101.07,2.0034,2.2859,3.6022,25.0935,1.5538,VerSe_test_0095.nii.gz,MedNeXt
151138,302114,104241.01,400873.48,2.0718,2.362,3.8259,24.8798,1.6901,VerSe_test_0095.nii.gz,SwinUNETR
