Case,DSC,ID_Rate,RMSD_vox,RMSD_mm
VerSe_test_0001,0.868,1.0,1.929,0.79
VerSe_test_0002,0.8165,0.9167,3.378,1.86
VerSe_test_0003,0.8991,1.0,1.348,0.44
VerSe_test_0004,0.7871,0.8889,8.609,2.14
VerSe_test_0005,0.8877,1.0,0.837,0.28
VerSe_test_0006,0.0861,0.0588,25.054,16.98
VerSe_test_0007,0.8871,1.0,2.41,0.67
VerSe_test_0008,0.8128,1.0,3.398,1.22
VerSe_test_0009,0.8329,1.0,1.95,0.74
VerSe_test_0010,0.8466,1.0,1.668,0.51
VerSe_test_0011,0.8189,0.8824,4.893,3.24
VerSe_test_0012,0.8627,0.8947,10.316,13.14
VerSe_test_0013,0.9386,1.0,0.503,0.47
VerSe_test_0014,0.7669,0.7647,3.855,3.01
VerSe_test_0015,0.9409,1.0,0.41,0.31
VerSe_test_0016,0.931,1.0,0.317,0.23
VerSe_test_0017,0.8928,0.9444,0.282,0.27
VerSe_test_0018,0.9431,1.0,0.201,0.17
VerSe_test_0019,0.9363,1.0,0.236,0.19
VerSe_test_0020,0.8448,0.8824,3.251,3.08
VerSe_test_0021,0.8438,0.875,8.003,6.72
VerSe_test_0022,0.9629,1.0,0.184,0.16
VerSe_test_0023,0.8851,0.9474,0.891,0.33
VerSe_test_0024,0.7661,0.7778,18.87,10.76
VerSe_test_0025,0.8917,1.0,3.581,2.2
VerSe_test_0026,0.8975,0.9444,0.205,0.19
VerSe_test_0027,0.9222,1.0,0.298,0.15
VerSe_test_0028,0.8628,0.9,0.177,0.12
VerSe_test_0029,0.5455,0.5714,29.267,18.13
VerSe_test_0030,0.9416,1.0,0.461,0.4
VerSe_test_0031,0.9395,1.0,0.442,0.37
VerSe_test_0032,0.253,0.2857,28.387,24.86
VerSe_test_0033,0.8014,0.75,1.249,1.12
VerSe_test_0034,0.9019,0.95,21.978,13.2
VerSe_test_0035,0.7366,0.76,7.803,7.04
VerSe_test_0036,0.7111,0.6667,2.264,1.92
VerSe_test_0037,0.8839,0.9565,3.342,1.92
VerSe_test_0038,0.7729,0.8333,6.737,3.76
VerSe_test_0039,0.5232,0.5556,11.689,10.3
VerSe_test_0040,0.8871,1.0,1.402,1.19
VerSe_test_0041,0.7606,0.7895,23.621,11.25
VerSe_test_0042,0.7501,0.7647,14.72,12.82
VerSe_test_0043,0.7974,0.8889,3.802,0.87
VerSe_test_0044,0.8394,0.9167,2.226,2.13
VerSe_test_0045,0.6437,0.5833,16.529,9.38
VerSe_test_0046,0.8784,1.0,1.149,0.72
VerSe_test_0047,0.8934,1.0,2.379,1.39
VerSe_test_0048,0.9494,1.0,0.343,0.36
VerSe_test_0049,0.9563,1.0,0.546,0.45
VerSe_test_0050,0.9379,1.0,0.497,0.33
VerSe_test_0051,0.9311,1.0,0.446,0.35
VerSe_test_0052,0.9428,1.0,0.394,0.31
VerSe_test_0053,0.8613,1.0,2.037,1.22
VerSe_test_0054,0.9508,1.0,0.112,0.09
VerSe_test_0055,0.936,1.0,0.258,0.2
VerSe_test_0056,0.9306,1.0,0.246,0.2
VerSe_test_0057,0.9574,1.0,0.143,0.1
VerSe_test_0058,0.8494,0.8333,2.345,1.66
VerSe_test_0059,0.9538,1.0,0.185,0.18
VerSe_test_0060,0.9563,1.0,0.447,0.27
VerSe_test_0061,0.8241,0.875,17.38,10.9
VerSe_test_0062,0.9379,1.0,0.221,0.29
VerSe_test_0063,0.9517,1.0,0.671,0.49
VerSe_test_0064,0.9315,1.0,0.342,0.28
VerSe_test_0065,0.9215,1.0,0.442,0.3
VerSe_test_0066,0.8181,0.875,8.486,8.57
VerSe_test_0067,0.6443,0.6364,9.49,12.68
VerSe_test_0068,0.9504,1.0,0.224,0.16
VerSe_test_0069,0.9064,0.9375,2.001,1.41
VerSe_test_0070,0.9384,1.0,0.192,0.17
VerSe_test_0071,0.9419,1.0,0.597,0.54
VerSe_test_0072,0.8538,0.8889,0.116,0.08
VerSe_test_0073,0.9351,1.0,0.942,0.28
VerSe_test_0074,0.94,1.0,0.152,0.19
VerSe_test_0075,0.9158,1.0,0.776,0.79
VerSe_test_0076,0.8768,0.9412,0.247,0.27
VerSe_test_0077,0.7765,0.8333,0.694,0.71
VerSe_test_0078,0.9526,1.0,0.36,0.37
VerSe_test_0079,0.9064,1.0,0.631,0.81
VerSe_test_0080,0.9392,1.0,0.283,0.33
VerSe_test_0081,0.9293,1.0,0.14,0.15
VerSe_test_0082,0.9423,1.0,0.086,0.1
VerSe_test_0083,0.8917,0.9091,2.034,2.05
VerSe_test_0084,0.763,0.8571,0.933,0.94
VerSe_test_0085,0.9433,1.0,0.145,0.15
VerSe_test_0086,0.9339,1.0,0.562,0.56
VerSe_test_0087,0.7157,0.75,0.0,0.0
VerSe_test_0088,0.4093,0.3333,1.551,1.55
VerSe_test_0089,0.7313,0.8,2.882,2.88
VerSe_test_0090,0.9574,1.0,0.171,0.18
VerSe_test_0091,0.9405,1.0,0.678,0.68
VerSe_test_0092,0.9525,1.0,0.224,0.22
VerSe_test_0093,0.9193,1.0,7.606,7.61
VerSe_test_0094,0.8977,1.0,0.328,0.4
VerSe_test_0095,0.9497,1.0,0.353,0.35
VerSe_test_0096,0.8186,0.8889,0.544,0.56
VerSe_test_0097,0.9494,1.0,0.326,0.33
VerSe_test_0098,0.9128,1.0,0.173,0.17
VerSe_test_0099,0.3492,0.3333,21.738,21.74
VerSe_test_0100,0.9324,1.0,0.171,0.17
VerSe_test_0101,0.8354,1.0,1.212,1.2
VerSe_test_0102,0.9591,1.0,0.073,0.07
VerSe_test_0103,0.7981,0.8889,0.315,0.31
VerSe_test_0104,0.918,1.0,7.687,7.69
VerSe_test_0105,0.8491,1.0,2.137,2.49
VerSe_test_0106,0.9327,1.0,0.401,0.43
VerSe_test_0107,0.9469,1.0,0.391,0.39
VerSe_test_0108,0.9393,1.0,0.247,0.31
VerSe_test_0109,0.9073,1.0,0.182,0.24
VerSe_test_0110,0.9145,1.0,0.76,1.06
VerSe_test_0111,0.8856,1.0,0.25,0.28
VerSe_test_0112,0.7768,0.8571,2.834,2.84
VerSe_test_0113,0.9349,1.0,0.296,0.31
MEAN,0.854,0.9149,3.506,2.63
