Case,DSC,ID_Rate,RMSD_mm,RMSD_vox
VerSe_test_0001,0.7588,0.6,1.95,6.03
VerSe_test_0002,0.817,0.9167,1.15,2.98
VerSe_test_0003,0.8858,1.0,0.45,1.98
VerSe_test_0004,0.7538,0.8889,2.58,16.61
VerSe_test_0005,0.8773,1.0,0.48,2.08
VerSe_test_0006,0.1764,0.1765,13.03,26.08
VerSe_test_0007,0.8804,1.0,0.66,3.05
VerSe_test_0008,0.7863,0.9091,1.23,6.76
VerSe_test_0009,0.8327,1.0,1.2,3.79
VerSe_test_0010,0.8446,1.0,0.52,4.99
VerSe_test_0011,0.6988,0.6471,7.92,12.55
VerSe_test_0012,0.8004,0.8421,8.64,15.78
VerSe_test_0013,0.9273,1.0,0.75,1.28
VerSe_test_0014,0.7622,0.7647,5.74,16.58
VerSe_test_0015,0.915,1.0,1.7,2.93
VerSe_test_0016,0.9274,1.0,0.22,0.97
VerSe_test_0017,0.9287,1.0,0.87,1.37
VerSe_test_0018,0.9418,1.0,0.1,0.33
VerSe_test_0019,0.9371,1.0,0.18,0.91
VerSe_test_0020,0.7626,0.7647,11.72,17.15
VerSe_test_0021,0.823,0.875,6.8,12.55
VerSe_test_0022,0.9605,1.0,0.17,0.34
VerSe_test_0023,0.8864,0.9474,1.71,7.78
VerSe_test_0024,0.7061,0.7222,11.9,24.34
VerSe_test_0025,0.891,1.0,0.96,2.54
VerSe_test_0026,0.9446,1.0,0.32,0.57
VerSe_test_0027,0.8777,1.0,0.46,8.02
VerSe_test_0028,0.9307,1.0,2.21,6.31
VerSe_test_0029,0.6274,0.5714,16.79,28.94
VerSe_test_0030,0.9366,1.0,0.4,0.57
VerSe_test_0031,0.8837,0.875,1.46,6.4
VerSe_test_0032,0.1038,0.1429,22.02,34.68
VerSe_test_0033,0.9019,1.0,0.66,5.49
VerSe_test_0034,0.9094,1.0,0.84,1.85
VerSe_test_0035,0.7934,0.84,9.8,10.96
VerSe_test_0036,0.4577,0.4444,3.1,28.6
VerSe_test_0037,0.9156,1.0,6.39,2.0
VerSe_test_0038,0.7717,0.8333,10.25,25.51
VerSe_test_0039,0.5366,0.5556,11.05,18.23
VerSe_test_0040,0.2698,0.1429,2.98,27.53
VerSe_test_0041,0.7483,0.7895,13.59,29.1
VerSe_test_0042,0.7208,0.7647,13.63,13.97
VerSe_test_0043,0.8326,0.8889,1.63,12.67
VerSe_test_0044,0.8413,0.9167,2.81,6.35
VerSe_test_0045,0.694,0.5,3.23,14.52
VerSe_test_0046,0.8328,1.0,1.0,3.46
VerSe_test_0047,0.8192,0.8889,1.64,8.58
VerSe_test_0048,0.8469,0.7273,3.23,6.06
VerSe_test_0049,0.9576,1.0,0.2,0.3
VerSe_test_0050,0.9346,1.0,0.22,0.8
VerSe_test_0051,0.9254,1.0,0.42,1.22
VerSe_test_0052,0.94,1.0,0.2,0.54
VerSe_test_0053,0.8194,0.8182,2.23,7.35
VerSe_test_0054,0.9461,1.0,0.11,0.85
VerSe_test_0055,0.9339,1.0,0.17,1.05
VerSe_test_0056,0.9281,1.0,0.21,1.0
VerSe_test_0057,0.9554,1.0,0.08,0.27
VerSe_test_0058,0.9237,1.0,0.71,1.27
