Case,DSC,ID_Rate,RMSD_vox,RMSD_mm
VerSe_test_0001,0.6121,0.6,6.263,3.31
VerSe_test_0002,0.7996,0.9167,2.899,1.22
VerSe_test_0003,0.8221,1.0,1.798,0.66
VerSe_test_0004,0.7091,0.7778,8.076,2.66
VerSe_test_0005,0.8521,1.0,1.706,0.74
VerSe_test_0006,0.2237,0.0588,20.572,16.63
VerSe_test_0007,0.8653,1.0,3.102,0.89
VerSe_test_0008,0.7106,0.8182,9.941,2.13
VerSe_test_0009,0.771,0.9231,3.169,1.36
VerSe_test_0010,0.84,0.9091,2.025,0.59
VerSe_test_0011,0.7537,0.8235,14.176,8.76
VerSe_test_0012,0.8675,0.9474,2.277,1.87
VerSe_test_0013,0.8564,0.9444,4.164,3.93
VerSe_test_0014,0.7018,0.7059,20.122,9.07
VerSe_test_0015,0.5907,0.5556,27.13,16.5
VerSe_test_0016,0.9202,1.0,0.428,0.32
VerSe_test_0017,0.6852,0.6667,20.802,19.62
VerSe_test_0018,0.8548,0.8571,0.868,0.61
VerSe_test_0019,0.9293,1.0,0.323,0.25
VerSe_test_0020,0.8204,0.8824,2.772,2.41
VerSe_test_0021,0.8063,0.875,13.309,10.87
VerSe_test_0022,0.9518,1.0,0.487,0.44
VerSe_test_0023,0.8957,1.0,2.072,0.79
VerSe_test_0024,0.6711,0.6667,15.757,9.01
VerSe_test_0025,0.7879,0.7826,9.941,6.01
VerSe_test_0026,0.9221,1.0,0.615,0.56
VerSe_test_0027,0.8954,1.0,0.506,0.27
VerSe_test_0028,0.857,0.9,3.33,2.23
VerSe_test_0029,0.6151,0.619,24.44,15.0
VerSe_test_0030,0.926,1.0,0.78,0.66
VerSe_test_0031,0.9505,1.0,0.165,0.14
VerSe_test_0032,0.0029,0.0,26.959,24.12
VerSe_test_0033,0.9321,1.0,0.244,0.2
VerSe_test_0034,0.9062,1.0,0.801,0.6
VerSe_test_0035,0.6793,0.72,15.994,14.43
VerSe_test_0036,0.1198,0.1111,26.201,14.18
VerSe_test_0037,0.7693,0.6957,14.31,8.19
VerSe_test_0038,0.7312,0.7778,8.682,4.58
VerSe_test_0039,0.4712,0.4444,15.394,13.52
VerSe_test_0040,0.2327,0.1429,27.706,24.91
VerSe_test_0041,0.7378,0.7895,12.997,10.44
VerSe_test_0042,0.6659,0.7059,14.911,13.2
VerSe_test_0043,0.8546,1.0,3.48,1.1
VerSe_test_0044,0.7533,0.9167,1.497,1.4
VerSe_test_0045,0.5414,0.3333,20.695,11.7
VerSe_test_0046,0.5129,0.2,4.283,2.66
VerSe_test_0047,0.8365,0.8889,2.736,1.61
VerSe_test_0048,0.9167,1.0,1.06,1.09
VerSe_test_0049,0.9541,1.0,0.159,0.22
VerSe_test_0050,0.9237,1.0,0.809,0.4
VerSe_test_0051,0.8677,0.9412,3.261,2.24
VerSe_test_0052,0.9206,1.0,0.991,0.79
VerSe_test_0053,0.1784,0.0,4.898,2.61
VerSe_test_0054,0.9359,1.0,0.504,0.36
